slug,title,film_sim,pc1,pc2
my-fujifilm-x100v-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,2.108340052550111,-1.0194088659915528
fujifilm-x-e4-film-simulation-recipe-kodachrome-25,Kodachrome 25,Classic Chrome,2.553038075334378,-1.2754667055104274
fujifilm-x100v-film-simulation-recipe-kodachrome-1,Kodachrome 1,Classic Chrome,0.2960707403426382,-0.2465127574166067
two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii,Kodachrome II &Kodachrome II v2,Classic Chrome,1.3097851621647418,-0.6029780988561502
mccurry-kodachrome-a-fujifilm-x-trans-iv-film-simulation-recipe,McCurry Kodachrome,Classic Chrome,1.403789850794886,1.7027003963744425
kodak-vision3-250d-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodak Vision3 250D,Eterna,1.0137981168540133,0.3942743110944248
kodak-portra-160-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Kodak Portra 160,Classic Chrome,-1.3287816959852001,-1.2138496358166222
fujifilm-x100v-film-simulation-kodak-portra-400,Kodak Portra 400,Classic Chrome,-0.04335291145421756,-0.7536978714681258
fujifilm-x100v-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,-1.2100142831869896,-0.7778626978303068
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-400-warm,Kodak Portra 400 Warm,Classic Chrome,-1.2497730999087127,-1.0866233716674412
fujifilm-x-trans-iv-film-simulation-recipe-reggies-portra,Reggie’s Portra,Classic Chrome,0.2522948938455633,-0.881937407698362
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-portra-style,Portra-Style,Classic Chrome,0.3518053179125983,-0.6081929170225178
fujifilm-x100v-film-simulation-recipe-kodak-portra-800,Kodak Portra 800,Classic Chrome,-1.9374177969955697,-0.20173565515411757
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-800-v2,Kodak Portra 800 v2,Classic Chrome,-2.446427948754287,0.09131972845239962
kodak-portra-800-v3-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,Kodak Portra 800 v3,Classic Chrome,-1.9360220469879998,0.009755835659485363
fujifilm-x-trans-iv-film-simulation-recipe-kodak-gold-v2,Kodak Gold v2,Classic Chrome,-0.4145401501559882,1.0416794743595652
fujifilm-x100v-film-simulation-recipe-kodak-ultramax-400,Kodak Ultramax 400,Classic Chrome,0.8350460562603991,-0.31298638639563897
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-max-800,Kodak Max 800,Classic Negative,-1.5458372857868772,0.917151128628643
kodak-royal-gold-400-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Royal Gold 400,Classic Negative,-0.39858923531967927,0.8287546197112488
fujifilm-x100v-film-simulation-recipe-kodak-ektar-100,Kodak Ektar 100,Classic Chrome,2.6889874673140954,-0.8833971407952399
fujifilm-x-trans-iv-film-simulation-recipe-elite-chrome-200,Elite Chrome 200,Classic Chrome,-2.0838076824514684,0.4532291157364894
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-high-definition-plus-200,Kodak High Definition Plus 200,Classic Chrome,0.036403016386474404,-1.2589557303390129
kodak-emulsion-a-fujifilm-recipe-for-x-trans-iv-cameras,Kodak Emulsion,Classic Chrome,-1.739560398625598,0.9448970515353323
fujifilm-x-e4-film-simulation-recipe-old-kodak,Old Kodak,Classic Chrome,-0.6276514291798636,0.0009515936078664629
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-old-ektachrome,Old Ektachrome,Classic Chrome,-0.7983751122262489,0.5737228804727983
four-fujifilm-x-trans-iv-film-simulation-recipes-kodaneg-vc-nc,KodaNeg VC & NC,Provia,1.2626662639818675,-2.2418587662624248
fujifilm-x-trans-iv-film-simulation-recipe-kodak-brilliance,Kodak Brilliance,Classic Chrome,2.178274594005461,-0.14290718673847097
classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe,Classic Color,Classic Chrome,-1.1993966344099873,-0.8287428841324969
using-ai-to-create-film-simulation-recipes-urban-dreams-x100v-x-trans-iv-film-simulation-recipe,Urban Dreams,Classic Chrome,-0.13929404049370486,1.246618837130126
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pure-negative,Pure Negative,PRO Neg,1.3063724424496417,0.028799568981985803
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-chrome-slide,Chrome Slide,Classic Negative,1.725998100372525,0.1832948206483309
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-positive-film,Positive Film,Classic Negative,-1.3335885153140339,-2.260721407769095
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-september-summer,September Summer,Classic Negative,-0.43445983476427324,-1.6477872580865536
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pacific-blues,Pacific Blues,Classic Negative,-2.02214097655196,0.07227486303243377
fujifilm-x-trans-iv-film-simulation-recipe-nostalgia-color,Nostalgia Color,Classic Negative,-2.1958184014175957,1.63496287113407
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-nostalgic-print,Nostalgic Print,PRO Neg,-1.8544253185454516,0.04143371775581308
new-nostalgic-negative-film-simulation-x-trans-iv-nostalgic-negative-recipe,Nostalgic Negative,Classic Chrome,-0.7098497637199106,-0.7043235560089406
fujifilm-x-trans-iv-film-simulation-recipe-vintage-negative,Vintage Negative,Classic Negative,-2.416726556885422,-0.43340626495448326
fujifilm-x100v-x-trans-iv-film-simulation-recipe-vintage-color,Vintage Color,Eterna,-0.73844629406157,1.7740650699885812
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-vintage-color-v2,Vintage Color v2,Classic Negative,-1.733622769943683,1.7679477632101583
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vintage-analog,Vintage Analog,Classic Negative,0.5768927271153372,3.2143467438267126
vintage-print-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Vintage Print,Classic Negative,-2.5992198543790517,1.0583234551654692
fujifilm-x-trans-iv-film-simulation-recipe-vintage-vibes,Vintage Vibes,Classic Negative,-1.2100142831869896,-0.7778626978303068
fujifilm-x100v-x-trans-iv-film-simulation-recipe-timeless-negative,Timeless Negative,Eterna,0.9431418205229097,-1.0733856992171704
eterna-summer-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Eterna Summer,Eterna,0.12857682221373007,-0.5959246707119726
fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2,Eterna v2,Eterna,-0.2551993127526437,-0.49386062355990706
vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes,Vintage Eterna,Eterna,0.713339979004977,0.1701646464747458
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog,Arizona Analog,Eterna,-1.41876238528639,-0.36187951857572803
1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,1960 Chrome,Eterna Bleach Bypass,-1.6432458417238014,-0.9104151705840193
1981-kodak-fujifilm-x100v-x-trans-iv-film-simulation-recipe,1981 Kodak,Eterna,-1.0912861758929817,-0.44596804385811906
fujifilm-x100v-film-simulation-recipe-fujicolor-reala-100,Fujicolor Reala 100,Classic Negative,-0.9291210753147194,0.10473426336946398
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-100,Fujicolor Superia 100,Classic Negative,-0.12068601388152478,-0.24541802942167432
fujifilm-x100v-film-simulation-recipe-superia-xtra-400,Superia Xtra 400,Classic Negative,-0.5869418702108354,-0.9079300821102022
fujifilm-x100v-film-simulation-recipe-superia-premium-400,Superia Premium 400,Classic Negative,-0.24395922802505943,-1.1224582354254233
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-800,Fujicolor Superia 800,Classic Negative,-2.0838076824514684,0.4532291157364894
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-1600,Fujicolor Superia 1600,Classic Negative,-2.0309326239483343,1.1987408889938695
fujifilm-x-e4-film-simulation-recipe-fujicolor-natura-1600,Fujicolor Natura 1600,Classic Negative,-2.622055301316949,0.9520857891651104
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-scanned-superia,Scanned Superia,Classic Negative,1.3934908563628805,0.3557894459843775
