slug,title,film_sim,x,y
my-fujifilm-x100v-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,6.898046,7.108725
fujifilm-x-e4-film-simulation-recipe-kodachrome-25,Kodachrome 25,Classic Chrome,6.7968254,6.893974
fujifilm-x100v-film-simulation-recipe-kodachrome-1,Kodachrome 1,Classic Chrome,6.3391294,7.2085133
two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii,Kodachrome II &Kodachrome II v2,Classic Chrome,6.9787254,6.4494014
mccurry-kodachrome-a-fujifilm-x-trans-iv-film-simulation-recipe,McCurry Kodachrome,Classic Chrome,7.057194,7.721733
kodak-vision3-250d-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodak Vision3 250D,Eterna,-2.9028995,6.947868
kodak-portra-160-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Kodak Portra 160,Classic Chrome,5.8046613,6.912295
fujifilm-x100v-film-simulation-kodak-portra-400,Kodak Portra 400,Classic Chrome,6.4054213,7.342594
fujifilm-x100v-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,5.8471375,7.31009
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-400-warm,Kodak Portra 400 Warm,Classic Chrome,6.053509,7.534058
fujifilm-x-trans-iv-film-simulation-recipe-reggies-portra,Reggie’s Portra,Classic Chrome,6.331585,6.842689
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-portra-style,Portra-Style,Classic Chrome,6.634683,7.3471026
fujifilm-x100v-film-simulation-recipe-kodak-portra-800,Kodak Portra 800,Classic Chrome,6.2184334,7.976893
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-800-v2,Kodak Portra 800 v2,Classic Chrome,5.7309294,7.239511
kodak-portra-800-v3-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,Kodak Portra 800 v3,Classic Chrome,6.1394205,8.012581
fujifilm-x-trans-iv-film-simulation-recipe-kodak-gold-v2,Kodak Gold v2,Classic Chrome,6.576353,8.082252
fujifilm-x100v-film-simulation-recipe-kodak-ultramax-400,Kodak Ultramax 400,Classic Chrome,7.092296,7.4230566
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-max-800,Kodak Max 800,Classic Negative,1.2040808,-6.7171564
kodak-royal-gold-400-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Royal Gold 400,Classic Negative,1.5116245,-6.360907
fujifilm-x100v-film-simulation-recipe-kodak-ektar-100,Kodak Ektar 100,Classic Chrome,6.747114,6.949273
fujifilm-x-trans-iv-film-simulation-recipe-elite-chrome-200,Elite Chrome 200,Classic Chrome,6.2656507,8.089022
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-high-definition-plus-200,Kodak High Definition Plus 200,Classic Chrome,6.632526,6.2396045
kodak-emulsion-a-fujifilm-recipe-for-x-trans-iv-cameras,Kodak Emulsion,Classic Chrome,6.395209,7.999185
fujifilm-x-e4-film-simulation-recipe-old-kodak,Old Kodak,Classic Chrome,5.9885163,7.1440544
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-old-ektachrome,Old Ektachrome,Classic Chrome,6.2804327,7.907292
four-fujifilm-x-trans-iv-film-simulation-recipes-kodaneg-vc-nc,KodaNeg VC & NC,Provia,5.4629745,3.1182418
fujifilm-x-trans-iv-film-simulation-recipe-kodak-brilliance,Kodak Brilliance,Classic Chrome,6.7326355,7.0660377
classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe,Classic Color,Classic Chrome,5.9580317,7.22344
using-ai-to-create-film-simulation-recipes-urban-dreams-x100v-x-trans-iv-film-simulation-recipe,Urban Dreams,Classic Chrome,7.123113,7.856985
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pure-negative,Pure Negative,PRO Neg,-11.409445,3.2531574
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-chrome-slide,Chrome Slide,Classic Negative,1.0881902,-5.5804687
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-positive-film,Positive Film,Classic Negative,0.61422044,-6.313864
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-september-summer,September Summer,Classic Negative,1.7835239,-6.682259
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pacific-blues,Pacific Blues,Classic Negative,0.5357071,-6.727621
fujifilm-x-trans-iv-film-simulation-recipe-nostalgia-color,Nostalgia Color,Classic Negative,0.8304633,-6.8925366
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-nostalgic-print,Nostalgic Print,PRO Neg,-11.724757,3.208937
new-nostalgic-negative-film-simulation-x-trans-iv-nostalgic-negative-recipe,Nostalgic Negative,Classic Chrome,5.972391,7.6284676
fujifilm-x-trans-iv-film-simulation-recipe-vintage-negative,Vintage Negative,Classic Negative,0.69295853,-6.8097577
fujifilm-x100v-x-trans-iv-film-simulation-recipe-vintage-color,Vintage Color,Eterna,-3.1559675,7.2341423
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-vintage-color-v2,Vintage Color v2,Classic Negative,0.2653167,-6.835009
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vintage-analog,Vintage Analog,Classic Negative,1.2754903,-6.031026
vintage-print-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Vintage Print,Classic Negative,0.44095913,-7.0043135
fujifilm-x-trans-iv-film-simulation-recipe-vintage-vibes,Vintage Vibes,Classic Negative,1.4798051,-6.4756265
fujifilm-x100v-x-trans-iv-film-simulation-recipe-timeless-negative,Timeless Negative,Eterna,-2.6732826,7.304142
eterna-summer-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Eterna Summer,Eterna,-2.9354217,7.2910595
fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2,Eterna v2,Eterna,-2.848063,7.4351153
vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes,Vintage Eterna,Eterna,-2.6780138,7.3264594
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog,Arizona Analog,Eterna,-3.0882823,7.444774
1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,1960 Chrome,Eterna Bleach Bypass,18.135025,-6.339612
1981-kodak-fujifilm-x100v-x-trans-iv-film-simulation-recipe,1981 Kodak,Eterna,-2.8877842,7.372204
fujifilm-x100v-film-simulation-recipe-fujicolor-reala-100,Fujicolor Reala 100,Classic Negative,1.6874884,-6.0391397
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-100,Fujicolor Superia 100,Classic Negative,1.4663507,-5.783118
fujifilm-x100v-film-simulation-recipe-superia-xtra-400,Superia Xtra 400,Classic Negative,1.84245,-6.708875
fujifilm-x100v-film-simulation-recipe-superia-premium-400,Superia Premium 400,Classic Negative,1.29798,-6.2376766
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-800,Fujicolor Superia 800,Classic Negative,0.97635615,-6.948262
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-1600,Fujicolor Superia 1600,Classic Negative,0.34226722,-6.985621
fujifilm-x-e4-film-simulation-recipe-fujicolor-natura-1600,Fujicolor Natura 1600,Classic Negative,0.5309722,-6.9867454
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-scanned-superia,Scanned Superia,Classic Negative,1.147137,-5.4780827
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-superia-summer,Superia Summer,Classic Negative,1.735507,-6.7258797
fujifilm-x100v-x-trans-iv-film-simulation-recipe-pulled-fujicolor-superia,Pulled Fujicolor Superia,Classic Negative,1.1354555,-5.6363053
fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-film-simulation-recipe-fujicolor-nps-160-pulled,Fujicolor NPS 160 Pulled,Classic Negative,1.8140976,-6.0386186
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-100-gold,Fujicolor 100 Gold,Classic Negative,1.5581607,-6.8797216
magenta-negative-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Magenta Negative,Classic Negative,0.660417,-7.1172376
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-c200,Fujicolor C200,Classic Negative,0.9192641,-6.3492017
fujicolor-c200-v2-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Fujicolor C200 v2,Classic Negative,1.533429,-5.6032634
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-pro-400h,Fujicolor Pro 400H,Classic Negative,1.2138269,-6.598008
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-nph,Fujicolor NPH,Provia,5.40716,3.0570734
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-negative,Fujicolor Negative,Classic Negative,1.4623106,-6.911547
