slug,title,film_sim,subcluster,subcluster_label
my-fujifilm-x100v-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,0,Classic Chrome#0
fujifilm-x-e4-film-simulation-recipe-kodachrome-25,Kodachrome 25,Classic Chrome,0,Classic Chrome#0
fujifilm-x100v-film-simulation-recipe-kodachrome-1,Kodachrome 1,Classic Chrome,0,Classic Chrome#0
two-fujifilm-x-trans-iv-film-simulation-recipes-kodachrome-ii,Kodachrome II &Kodachrome II v2,Classic Chrome,2,Classic Chrome#2
mccurry-kodachrome-a-fujifilm-x-trans-iv-film-simulation-recipe,McCurry Kodachrome,Classic Chrome,1,Classic Chrome#1
kodak-vision3-250d-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodak Vision3 250D,Eterna,1,Eterna#1
kodak-portra-160-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Kodak Portra 160,Classic Chrome,0,Classic Chrome#0
fujifilm-x100v-film-simulation-kodak-portra-400,Kodak Portra 400,Classic Chrome,0,Classic Chrome#0
fujifilm-x100v-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,0,Classic Chrome#0
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-400-warm,Kodak Portra 400 Warm,Classic Chrome,0,Classic Chrome#0
fujifilm-x-trans-iv-film-simulation-recipe-reggies-portra,Reggie’s Portra,Classic Chrome,0,Classic Chrome#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-portra-style,Portra-Style,Classic Chrome,0,Classic Chrome#0
fujifilm-x100v-film-simulation-recipe-kodak-portra-800,Kodak Portra 800,Classic Chrome,1,Classic Chrome#1
fujifilm-x-trans-iv-film-simulation-recipe-kodak-portra-800-v2,Kodak Portra 800 v2,Classic Chrome,0,Classic Chrome#0
kodak-portra-800-v3-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,Kodak Portra 800 v3,Classic Chrome,1,Classic Chrome#1
fujifilm-x-trans-iv-film-simulation-recipe-kodak-gold-v2,Kodak Gold v2,Classic Chrome,1,Classic Chrome#1
fujifilm-x100v-film-simulation-recipe-kodak-ultramax-400,Kodak Ultramax 400,Classic Chrome,1,Classic Chrome#1
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-max-800,Kodak Max 800,Classic Negative,2,Classic Negative#2
kodak-royal-gold-400-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Royal Gold 400,Classic Negative,0,Classic Negative#0
fujifilm-x100v-film-simulation-recipe-kodak-ektar-100,Kodak Ektar 100,Classic Chrome,0,Classic Chrome#0
fujifilm-x-trans-iv-film-simulation-recipe-elite-chrome-200,Elite Chrome 200,Classic Chrome,1,Classic Chrome#1
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-kodak-high-definition-plus-200,Kodak High Definition Plus 200,Classic Chrome,2,Classic Chrome#2
kodak-emulsion-a-fujifilm-recipe-for-x-trans-iv-cameras,Kodak Emulsion,Classic Chrome,1,Classic Chrome#1
fujifilm-x-e4-film-simulation-recipe-old-kodak,Old Kodak,Classic Chrome,0,Classic Chrome#0
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-old-ektachrome,Old Ektachrome,Classic Chrome,1,Classic Chrome#1
four-fujifilm-x-trans-iv-film-simulation-recipes-kodaneg-vc-nc,KodaNeg VC & NC,Provia,-1,
fujifilm-x-trans-iv-film-simulation-recipe-kodak-brilliance,Kodak Brilliance,Classic Chrome,0,Classic Chrome#0
classic-color-fujifilm-x-t5-x-trans-v-and-x-e4-x-trans-iv-film-simulation-recipe,Classic Color,Classic Chrome,0,Classic Chrome#0
using-ai-to-create-film-simulation-recipes-urban-dreams-x100v-x-trans-iv-film-simulation-recipe,Urban Dreams,Classic Chrome,1,Classic Chrome#1
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pure-negative,Pure Negative,PRO Neg,4,PRO Neg#4
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-chrome-slide,Chrome Slide,Classic Negative,1,Classic Negative#1
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-positive-film,Positive Film,Classic Negative,0,Classic Negative#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-september-summer,September Summer,Classic Negative,2,Classic Negative#2
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pacific-blues,Pacific Blues,Classic Negative,0,Classic Negative#0
fujifilm-x-trans-iv-film-simulation-recipe-nostalgia-color,Nostalgia Color,Classic Negative,0,Classic Negative#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-nostalgic-print,Nostalgic Print,PRO Neg,2,PRO Neg#2
new-nostalgic-negative-film-simulation-x-trans-iv-nostalgic-negative-recipe,Nostalgic Negative,Classic Chrome,1,Classic Chrome#1
fujifilm-x-trans-iv-film-simulation-recipe-vintage-negative,Vintage Negative,Classic Negative,0,Classic Negative#0
fujifilm-x100v-x-trans-iv-film-simulation-recipe-vintage-color,Vintage Color,Eterna,1,Eterna#1
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-vintage-color-v2,Vintage Color v2,Classic Negative,0,Classic Negative#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vintage-analog,Vintage Analog,Classic Negative,3,Classic Negative#3
vintage-print-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Vintage Print,Classic Negative,0,Classic Negative#0
fujifilm-x-trans-iv-film-simulation-recipe-vintage-vibes,Vintage Vibes,Classic Negative,0,Classic Negative#0
fujifilm-x100v-x-trans-iv-film-simulation-recipe-timeless-negative,Timeless Negative,Eterna,0,Eterna#0
eterna-summer-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Eterna Summer,Eterna,0,Eterna#0
fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2,Eterna v2,Eterna,0,Eterna#0
vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes,Vintage Eterna,Eterna,0,Eterna#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog,Arizona Analog,Eterna,0,Eterna#0
1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,1960 Chrome,Eterna Bleach Bypass,0,Eterna Bleach Bypass#0
1981-kodak-fujifilm-x100v-x-trans-iv-film-simulation-recipe,1981 Kodak,Eterna,0,Eterna#0
fujifilm-x100v-film-simulation-recipe-fujicolor-reala-100,Fujicolor Reala 100,Classic Negative,1,Classic Negative#1
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-100,Fujicolor Superia 100,Classic Negative,1,Classic Negative#1
fujifilm-x100v-film-simulation-recipe-superia-xtra-400,Superia Xtra 400,Classic Negative,2,Classic Negative#2
fujifilm-x100v-film-simulation-recipe-superia-premium-400,Superia Premium 400,Classic Negative,0,Classic Negative#0
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-800,Fujicolor Superia 800,Classic Negative,0,Classic Negative#0
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-1600,Fujicolor Superia 1600,Classic Negative,0,Classic Negative#0
fujifilm-x-e4-film-simulation-recipe-fujicolor-natura-1600,Fujicolor Natura 1600,Classic Negative,0,Classic Negative#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-scanned-superia,Scanned Superia,Classic Negative,1,Classic Negative#1
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-superia-summer,Superia Summer,Classic Negative,2,Classic Negative#2
fujifilm-x100v-x-trans-iv-film-simulation-recipe-pulled-fujicolor-superia,Pulled Fujicolor Superia,Classic Negative,1,Classic Negative#1
fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-film-simulation-recipe-fujicolor-nps-160-pulled,Fujicolor NPS 160 Pulled,Classic Negative,1,Classic Negative#1
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-100-gold,Fujicolor 100 Gold,Classic Negative,2,Classic Negative#2
magenta-negative-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Magenta Negative,Classic Negative,0,Classic Negative#0
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-c200,Fujicolor C200,Classic Negative,1,Classic Negative#1
fujicolor-c200-v2-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Fujicolor C200 v2,Classic Negative,1,Classic Negative#1
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-pro-400h,Fujicolor Pro 400H,Classic Negative,0,Classic Negative#0
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-nph,Fujicolor NPH,Provia,-1,
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-negative,Fujicolor Negative,Classic Negative,2,Classic Negative#2
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-analog,Fujicolor Analog,Classic Negative,1,Classic Negative#1
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-part-1-of-3,Fujicolor Super HG,Classic Negative,1,Classic Negative#1
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-v2-part-2-of-3,Fujicolor Super HG v2,Classic Negative,1,Classic Negative#1
fujifilm-x-trans-iv-film-simulation-recipe-super-hg-astia-part-3-of-3,Super HG Astia,Astia,-1,
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-standard-provia,Standard Provia,Provia,-1,
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujichrome-provia-100f,Fujichrome Provia 100F,Classic Chrome,2,Classic Chrome#2
fujifilm-x100v-film-simulation-recipe-color-negative-400,Color Negative 400,Classic Negative,1,Classic Negative#1
pro-negative-160c-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v,PRO Negative 160C,PRO Neg,0,PRO Neg#0
fujifilm-x-trans-iv-film-simulation-recipe-agfachrome-rs-100,AgfaChrome RS 100,Classic Negative,1,Classic Negative#1
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-agfa-ultra-100,Agfa Ultra 100,Classic Negative,1,Classic Negative#1
fujifilm-x100v-film-simulation-recipe-agfa-vista-100,Agfa Vista 100,Classic Negative,1,Classic Negative#1
not-my-fujifilm-x100v-classic-negative-film-simulation-recipe,Classic Negative,Classic Negative,1,Classic Negative#1
snow-fun-with-fujifilm-x-t4-fujinon-90mm-new-film-simulation-recipe-amandas-classic-negative,Amanda’s Classic Negative,Classic Negative,1,Classic Negative#1
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold,Retro Gold,Classic Chrome,0,Classic Chrome#0
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold-low-contrast,Retro Gold Low Contrast,Classic Chrome,0,Classic Chrome#0
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-santacolor,SantaColor,Eterna,0,Eterna#0
fujifilm-x-trans-iv-film-simulation-recipe-creamy-color,Creamy Color,Classic Negative,3,Classic Negative#3
fujifilm-x100v-film-simulation-recipe-nature-neon,Nature Neon,Classic Chrome,2,Classic Chrome#2
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-grizzly-ride,Grizzly Ride,Eterna Bleach Bypass,0,Eterna Bleach Bypass#0
