
=== Film Simulation  (26 values, 9 distinct) ===
     7  'Classic Chrome'
     5  'Classic Negative'
     4  'Eterna'
     4  'Eterna Bleach Bypass'
     2  'PRO Neg. Hi'
     1  'Velvia'
     1  'Acros'
     1  'Acros ('
     1  'Acros+G'

=== Dynamic Range  (183 values, 9 distinct) ===
   102  'DR400'
    48  'DR200'
    15  'DR100'
    12  'DR-Auto'
     2  'D-Range Priority Auto'
     1  'D-Range Priority Strong'
     1  'DR400 (DR200 in low contrast situations)'
     1  'DR-P Strong'
     1  'N/A'

=== Color Chrome Effect  (183 values, 6 distinct) ===
   117  'Strong'
    35  'Off'
    23  'Weak'
     4  'Off or N/A'
     3  'Off/NA'
     1  'N/A (X-Trans III) or Off (X-T3/X-T30)'

=== Color Chrome FX Blue  (130 values, 5 distinct) ===
    55  'Strong'
    39  'Weak'
    33  'Off'
     2  'Off (X-Trans V); Weak (X-Trans IV)'
     1  'Strong (X-Trans IV), Weak (X-Trans V)'

=== Grain Effect  (184 values, 7 distinct) ===
    41  'Weak, Small'
    39  'Strong, Large'
    33  'Strong, Small'
    28  'Strong'
    25  'Weak'
    14  'Weak, Large'
     4  'Off'

=== White Balance  (171 values, 142 distinct) ===
     5  'Auto, 0 Red & 0 Blue'
     4  'Daylight, 0 Red & 0 Blue'
     4  'Daylight, +4 Red & -5 Blue'
     3  '5200K, +1 Red & -6 Blue'
     3  'Daylight, -2 Red & +3 Blue'
     2  'Daylight, +2 Red & -5 Blue'
     2  'Auto, +2 Red & -4 Blue'
     2  'Daylight, -1 Red & -3 Blue'
     2  'Daylight, -3 Red & +1 Blue'
     2  'Auto, +3 Red & -5 Blue'
     2  '7350K, -1 Red & -4 Blue'
     2  '9100K, -4 Red & +4 Blue'
     2  'Daylight, +3 Red & -7 Blue'
     2  'Fluorescent 2, -3 Red & -1 Blue'
     2  'Auto, -2 Red & -4 Blue'

=== Highlight  (180 values, 13 distinct) ===
    34  '-1'
    28  '0'
    28  '-2'
    27  '+1'
    18  '+2'
    16  '+4'
    15  '+3'
     4  '+0.5'
     3  '-0.5'
     3  '+2.5'
     2  '-1.5'
     1  '+3.5'
     1  '-0'

=== Shadow  (180 values, 12 distinct) ===
    28  '-2'
    28  '+1'
    26  '+4'
    25  '+2'
    20  '-1'
    19  '+3'
    18  '0'
     6  '-0.5'
     3  '+1.5'
     3  '-1.5'
     2  '+2.5'
     2  '+0'

=== Color  (163 values, 10 distinct) ===
    46  '+4'
    26  '+2'
    24  '+3'
    19  '-4'
    13  '+1'
    12  '-2'
     9  '0'
     8  '-1'
     5  '-3'
     1  '+0'

=== Sharpness  (180 values, 11 distinct) ===
    59  '-2'
    34  '-1'
    32  '0'
    19  '+1'
    11  '+2'
    10  '-4'
     7  '-3'
     3  '+3'
     2  '+4'
     2  '1'
     1  '-0'

=== Noise Reduction  (184 values, 3 distinct) ===
   180  '-4'
     3  '-2'
     1  '+2'

=== Clarity  (131 values, 11 distinct) ===
    31  '-3'
    28  '-2'
    22  '-4'
    11  '+3'
    11  '+2'
     9  '0'
     9  '-5'
     4  '+4'
     3  '+1'
     2  '+5'
     1  '-1'

=== ISO  (180 values, 16 distinct) ===
   136  'Auto, up to ISO 6400'
    21  'Auto up to ISO 6400'
     5  'Auto up to ISO 12800'
     4  'Auto, up to ISO 12800'
     2  'Auto, up to ISO 1600'
     2  'up to ISO 12800'
     1  '1600 to 6400'
     1  'up to ISO 5000'
     1  '12800'
     1  'ISO 1600 – 12800'
     1  'Auto, up to ISO 6400 (for best results, try to limit the ISO to 1600 and lower when able)'
     1  '3200'
     1  '3200 – 6400'
     1  'Auto, up to ISO 3200'
     1  'Auto, ISO 3200 to ISO 12800'

=== Exposure Compensation  (177 values, 35 distinct) ===
    34  '0 to +2/3 (typically)'
    32  '+1/3 to +1 (typically)'
    25  '+1/3 to +2/3 (typically)'
    12  '-1/3 to +1/3 (typically)'
    12  '+2/3 to +1 (typically)'
     8  '0 to +1 (typically)'
     7  '+2/3 to +1 1/3 (typically)'
     6  '-1/3 to +2/3 (typically)'
     4  '0 to -2/3 (typically)'
     3  '+1/3 to +2/3'
     2  '-2/3 to +1 (typically)'
     2  '+1/3 to +1 1/3 (typically)'
     2  '0 to +1/3 (typically)'
     2  '-2/3 to 0 (typically)'
     2  '+1/3 to +1'

=== Toning  (11 values, 8 distinct) ===
     3  '0'
     2  'WC +1, MG 0'
     1  'WC +2, MG 0'
     1  'WC +2 MG 0'
     1  '+1 (warm)'
     1  '0 (off)'
     1  '0 (Neutral)'
     1  '-9'
